"OBJECTID","Owner Name","BusinessName","Address","Suite","City","State","Zip","PhoneNumber","BusinessType"
"69963","MEDI-PHYSICS, INC","MEDI-PHYSICS","3920 HOWARD AVE","","NEW ORLEANS","LA","70125","813-222-7036","1120 - PHARMACIES & DRUG STORES"
"69962","MEDICINE PRO LLC","MED-PRO PHARMACY","2600 S CLAIBORNE AVE","","NEW ORLEANS","LA","70125","504-309-9223","1120 - PHARMACIES & DRUG STORES"
"69961","CBJ VENTURES, LLC","MED PRO PHARMACY","3601 ST CLAUDE AVE","","NEW ORLEANS","LA","70117","504-234-1056","1120 - PHARMACIES & DRUG STORES"
"69960","LA PETITE PHARMACY, LLC","LA PETITE PHARMACY","4321 MAGNOLIA ST","","NEW ORLEANS","LA","70115","","1120 - PHARMACIES & DRUG STORES"
"69967","PROFESSIONAL SERVICE PHARMACY LLC","PROFESSIONAL SERVICE PHARMACY LLC","7313 DOWNMAN RD","","NEW ORLEANS","LA","70126","","1120 - PHARMACIES & DRUG STORES"
"69966","OPW PHARMACY-LAKE TERRACE","OPW PHARMACY-LAKE TERRACE","1532 ROBERT E LEE BLVD","","NEW ORLEANS","LA","70122","","1120 - PHARMACIES & DRUG STORES"
"69965","OCHSNER PHARMACY & WELLNESS,LLC","OCHSNER PHARMACY-BAPTIST","2820 NAPOLEON AVE","#220","NEW ORLEANS","LA","70115","","1120 - PHARMACIES & DRUG STORES"
"69964","VOTRAN RX,LLC","MICHOUD PHARMACY","4646 MICHOUD BLVD","STE #D5","NEW ORLEANS","LA","70129","","1120 - PHARMACIES & DRUG STORES"
"69927","AVITA DRUGS LLC","AVITA DRUGS","3308 TULANE AVE","","NEW ORLEANS","LA","70119","","1120 - PHARMACIES & DRUG STORES"
"69926","AVITA DRUGS LLC","AVITA DRUGS","2601 TULANE AVE","445","NEW ORLEANS","LA","70119","504-822-8013","1120 - PHARMACIES & DRUG STORES"
"69969","WALGREEN LOUISIANA CO.,INC.","RITE AID # 7266","3100 GENTILLY BLVD","","NEW ORLEANS","LA","70122","","1120 - PHARMACIES & DRUG STORES"
"69968","WALGREEN LOUISIANA CO., INC.","RITE AID # 7262","2669 CANAL ST","","NEW ORLEANS","LA","70119","","1120 - PHARMACIES & DRUG STORES"
"69929","BENZER LA 1 LLC","BENZER PHARMACY","2525 CANAL ST","","NEW ORLEANS","LA","70119","","1120 - PHARMACIES & DRUG STORES"
"69928","ALPESH PATEL","BENZER LA1 LLC","2525 CANAL ST","","NEW ORLEANS","LA","70119","","1120 - PHARMACIES & DRUG STORES"
"69930","BEST LIFE PHARMACY & RESTAURANT, INC.","BEST LIFE PHARMACY","2657 TULANE AVE","","NEW ORLEANS","LA","70119","","1120 - PHARMACIES & DRUG STORES"
"69974","MICHAEL P KULLMAN INC","UPTOWN DELIVERY PHARMACY","741 NASHVILLE AVE","","NEW ORLEANS","LA","70115","504-897-0141","1120 - PHARMACIES & DRUG STORES"
"69973","TULANE PHARMACY,LLC","TULANE PHARMACY","1430 TULANE AVE","STE #1502","NEW ORLEANS","LA","70112","","1120 - PHARMACIES & DRUG STORES"
"69972","AN CUONG,LLC","TIEN'S PHARMACY","4623 ALCEE FORTIER BLVD","","NEW ORLEANS","LA","70129","504-254-4606","1120 - PHARMACIES & DRUG STORES"
"69971","TUSA, CHAS H","ROYAL PHARMACY","1101 ROYAL ST","","NEW ORLEANS","LA","70116","","1120 - PHARMACIES & DRUG STORES"
"69978","WALGREENS LOUISIANA CO., INC.","WALGREENS #02262","1100 ELYSIAN FIELDS AVE","","NEW ORLEANS","LA","70117","","1120 - PHARMACIES & DRUG STORES"
"69934","CHARBONNET FAMILY PHARMACY","CHARBONNET FAMILY PHARMACY","7211 REGENT ST","","NEW ORLEANS","LA","70124","504-309-2449","1120 - PHARMACIES & DRUG STORES"
"69933","TERSCO LLC","CASTELLON PHARMACY","8232 OAK ST","","NEW ORLEANS","LA","70118","504-866-3784","1120 - PHARMACIES & DRUG STORES"
"69977","WALGREENS LOUISIANA CO, INC","WALGREENS  #15199","5518 MAGAZINE ST","","NEW ORLEANS","LA","70115","","1120 - PHARMACIES & DRUG STORES"
"69932","CARR'S DRUGS INC","CARR'S DRUGS INC","3500 HOLIDAY DR","","NEW ORLEANS","LA","70114-8207","","1120 - PHARMACIES & DRUG STORES"
"69976","WALGREEN  LOUISIANA CO., INC.","WALGREEN #16312","5702 CROWDER BLVD","","NEW ORLEANS","LA","70127","","1120 - PHARMACIES & DRUG STORES"
"69931","HUNG TRAN PHAT PHARMACY","BROAD AVENUE PHARMACY","1400 N BROAD ST","","NEW ORLEANS","LA","70119","","1120 - PHARMACIES & DRUG STORES"
"69975","WALGREEN LOUISIANA CO., INC.","WALGREEN  #17089","760 HARRISON AVE","","NEW ORLEANS","LA","70124","","1120 - PHARMACIES & DRUG STORES"
"69938","LMF VENTURES, LLC","CRESCENT CITY PHARMACY","2240 SIMON BOLIVAR AVE","STE A","NEW ORLEANS","LA","70113","504-267-4100","1120 - PHARMACIES & DRUG STORES"
"69937","MBP GROUP LLC","CRESCENT CITY APOTHECARY","8138 OAK ST","","NEW ORLEANS","LA","70118","504-220-6828","1120 - PHARMACIES & DRUG STORES"
